Sr No,Module,Sub-Module,API Endpoint,HTTP Method,Auth Required,Description,Request Headers,Request Body / Params,Success HTTP Code,Success Response Body,Error HTTP Code(s),Error Response Body,All Error Scenarios,Improvement Suggestions (Manager Notes)
1,Auth,Phone OTP,/api/v1/auth/phone,POST,No,Send OTP to phone. Creates new user if not found. Normalizes and hashes phone.,None,"{ ""phone"": ""+61412345678"" }",200,"{ ""success"": true, ""message"": ""OTP sent successfully"" }",400,"{ ""success"": false, ""message"": ""Phone number is required"" } | { ""success"": false, ""message"": ""Invalid phone number"" }","1) Phone missing → 400: 'Phone number is required' | 2) Invalid phone format → 400: 'Invalid phone number' | 3) OTP service failure → passes to global error handler | 4) Play Store test phone (+61800000000) → simulated success without sending OTP",
2,Auth,Phone OTP Verify,/api/v1/auth/verify,POST,No,Verify phone OTP. Returns accessToken + refreshToken + full user profile. Creates user if new. Checks ban/suspension. Assigns milestone eligibility.,None,"{ ""phone"": ""+61412345678"", ""otp"": ""123456"" }",200,"{ ""success"": true, ""message"": ""Welcome! Phone verified successfully | Welcome back! Login successful"", ""data"": { ""accessToken"": ""jwt..."", ""refreshToken"": ""raw..."", ""user"": { account, profile, attributes, discovery, discoveryFilters, location, photos, verification, settings, isPhoneVerified, isEmailVerified, onboarding } } }",400,"{ ""success"": false, ""message"": ""Phone and OTP is required"" } | { ""success"": false, ""message"": ""OTP expired or invalid"" } | { ""success"": false, ""message"": ""Invalid OTP"" } | { ""success"": false, ""message"": ""Your account has been banned..."" } | { ""success"": false, ""message"": ""Your account is suspended until <date>"" }","1) Phone/OTP missing → 400: 'Phone and OTP is required' | 2) Invalid phone format → 400: 'Invalid phone number' | 3) OTP expired (Redis TTL) → 400: 'OTP expired or invalid' | 4) Wrong OTP → 400: 'Invalid OTP' | 5) Account banned → 400: 'Your account has been banned' | 6) Account suspended → 400: 'Your account is suspended until <date>' | 7) Play Store bypass: +61800000000 + 123456 always passes",
3,Auth,Test OTP Send,/api/v1/auth/phonetest,POST,No,DEV/QA: Send OTP and return OTP in response. Returns full user profile if user exists. OTP stored in plain Redis.,None,"{ ""phone"": ""+61412345678"" }",200,"{ ""success"": true, ""message"": ""Test OTP: 834521"", ""data"": { ""user"": { <full profile or null> } } }",400,"{ ""success"": false, ""message"": ""Phone is required"" } | { ""success"": false, ""message"": ""Invalid phone number"" }","1) Phone missing → 400: 'Phone is required' | 2) Invalid phone → 400: 'Invalid phone number' | 3) Internal error → 400: error.message | 4) Play Store phone (+61800000000) → OTP fixed as '123456'",
4,Auth,Test OTP Verify,/api/v1/auth/verifytestotp,POST,No,DEV/QA: Verify test OTP (plain text Redis match). Returns tokens + full user profile. Tracks sessions and login history.,None,"{ ""phone"": ""+61412345678"", ""otp"": ""834521"", ""deviceId"": ""device123"", ""deviceName"": ""Pixel 7"", ""platform"": ""android"", ""os"": ""Android 14"" }",200,"{ ""success"": true, ""message"": ""Welcome! Phone verified successfully"", ""data"": { ""accessToken"": ""jwt..."", ""refreshToken"": ""raw..."", ""user"": { <full profile> } } }",400,"{ ""success"": false, ""message"": ""Phone and OTP are required"" } | { ""success"": false, ""message"": ""Invalid OTP"" }","1) Phone/OTP missing → 400: 'Phone and OTP are required' | 2) Invalid phone → 400: 'Invalid phone number' | 3) Wrong OTP → 400: 'Invalid OTP' | 4) Play Store bypass: +61800000000 + 123456 | 5) Session tracking: deviceId + IP + login history (max 15 entries; 5 devices)",
5,Auth,Email OTP Send,/api/v1/auth/register/email,POST,Yes (Bearer Token),Send email verification OTP. Phone must be verified first. Checks email uniqueness. OTP stored in user doc with 10-min expiry.,Authorization: Bearer <accessToken>,"{ ""email"": ""user@example.com"" }",200,"{ ""success"": true, ""message"": ""Email OTP sent successfully"" }","400, 401","{ ""success"": false, ""message"": ""Authentication token is required"" } | { ""success"": false, ""message"": ""User not found"" } | { ""success"": false, ""message"": ""Phone must be verified before email verification"" } | { ""success"": false, ""message"": ""Email already in use"" }","1) No auth token → 401: 'Authentication token is required' | 2) Invalid/expired token → 400: error.message | 3) User not found → 400: 'User not found' | 4) Phone not verified → 400: 'Phone must be verified before email verification' | 5) Email used by another account → 400: 'Email already in use' | 6) Play Store test email (test@keenasmustard.com) → skips actual email",
6,Auth,Email OTP Verify,/api/v1/auth/verify/email,POST,Yes (Bearer Token),Verify email OTP. Marks email as verified. Updates onboarding progress. Returns updated user profile (no new tokens).,Authorization: Bearer <accessToken>,"{ ""otp"": ""654321"" }",200,"{ ""success"": true, ""message"": ""Email verified successfully"", ""data"": { ""user"": { <full profile with isEmailVerified: true> } } }","400, 401","{ ""success"": false, ""message"": ""Authentication token is required"" } | { ""success"": false, ""message"": ""OTP not found"" } | { ""success"": false, ""message"": ""OTP expired"" } | { ""success"": false, ""message"": ""Invalid OTP"" }","1) No auth token → 401: 'Authentication token is required' | 2) Invalid/expired token → 400: error.message | 3) User not found → 400: 'User not found' | 4) OTP not in user doc → 400: 'OTP not found' | 5) OTP expired (>10 min) → 400: 'OTP expired' | 6) Wrong OTP → 400: 'Invalid OTP' | 7) Play Store: test@keenasmustard.com + 123456 always passes",
7,Auth,Refresh Token,/api/v1/auth/refresh,POST,Yes (Bearer Refresh Token),Exchange valid refresh token for new access token. Cleans expired tokens from DB. Returns updated user profile.,Authorization: Bearer <refreshToken>,None (token in header),200,"{ ""success"": true, ""data"": { ""accessToken"": ""new_jwt..."", ""user"": { <full profile> } } }",401,"{ ""success"": false, ""message"": ""Refresh token missing in header"" } | { ""success"": false, ""message"": ""Invalid refresh token"" } | { ""success"": false, ""message"": ""Refresh token expired"" }","1) No Authorization header → 401: 'Refresh token missing in header' | 2) Header not starting with 'Bearer ' → 401: 'Refresh token missing in header' | 3) Token hash not found in any user → 401: 'Invalid refresh token' | 4) Token found but expired → 401: 'Refresh token expired' | 5) Max 5 refresh tokens per user (FIFO)",
8,Auth,Logout,/api/v1/auth/logout,POST,No,Invalidate refresh token and remove FCM token for specific device. Idempotent — returns success even if token already invalid.,None,"{ ""refreshToken"": ""raw_token_value"", ""deviceId"": ""device123"" }",200,"{ ""success"": true, ""message"": ""Logged out successfully"" }",400,"{ ""success"": false, ""message"": ""<error details>"" }","1) Invalid/missing refresh token → still returns success (idempotent) | 2) Internal error → 400: error.message | 3) Also removes FCM token for given deviceId to stop push notifications",
9,Auth,Resend Phone OTP,/api/v1/auth/resend/phone,POST,No,Resend OTP to phone. Currently routes to sendTestOtp controller (returns OTP in response).,None,"{ ""phone"": ""+61412345678"" }",200,"{ ""success"": true, ""message"": ""Test OTP: <otp>"", ""data"": { ""user"": <formatted or null> } }","400, 429","{ ""success"": false, ""message"": ""Phone is required"" } | { ""success"": false, ""message"": ""Invalid phone number"" }","1) Phone missing → 400: 'Phone is required' | 2) Invalid phone → 400: 'Invalid phone number' | 3) Note: Currently maps to sendTestOtp (returns OTP in response — dev only) | 4) Play Store phone bypass applies",
10,Auth,Resend Email OTP,/api/v1/auth/resend/email,POST,Yes (Bearer Token),Resend email verification OTP. Rate limited: 3 per minute per IP. Reuses sendEmailOtp service.,Authorization: Bearer <accessToken>,"{ ""email"": ""user@example.com"" }",200,"{ ""success"": true, ""message"": ""Verification email resent successfully"" }","400, 401, 429","{ ""success"": false, ""message"": ""Authentication token is required"" } | { ""success"": false, ""message"": ""Email is required"" } | { ""success"": false, ""message"": ""Too many attempts. Please try again after a minute."" }","1) No auth token → 401: 'Authentication token is required' | 2) Email missing → 400: 'Email is required' | 3) Rate limit exceeded → 429: 'Too many attempts. Please try again after a minute.' | 4) Invalid token → 400: error.message | 5) Play Store email (test@keenasmustard.com) → simulated success",
